settingsNum,round2,density
1,1,0.571428571
2,1,0.19047619
3,1,0.666666667
4,1,0.19047619
5,1,0.285714286
6,1,0.4
7,1,0.285714286
8,1,0.285714286
9,1,1
10,1,0.380952381
11,1,0.238095238
12,1,0.4
13,1,0.238095238
14,1,0.142857143
15,1,0.066666667
16,1,0.19047619
17,1,0.19047619
18,1,0.2
19,1,0.142857143
20,1,0.285714286
21,1,0.666666667
22,1,0.142857143
23,1,0
24,1,0.666666667
25,1,0.142857143
26,1,0.238095238
27,1,0.2
28,1,0.428571429
29,1,0.19047619
30,1,0.666666667
31,1,0.333333333
32,1,0.19047619
33,1,0.666666667
34,1,0.428571429
35,1,0.095238095
36,1,0.4
37,1,0.380952381
38,1,0.285714286
39,1,0.666666667
40,1,0.142857143
41,1,0.238095238
42,1,0.666666667
43,1,0.428571429
44,1,0.285714286
45,1,1
46,1,0.142857143
47,1,0.142857143
48,1,0.666666667
49,1,0.238095238
50,1,0.095238095
51,1,1
52,1,0.333333333
53,1,0.047619048
54,1,0.2
55,1,0.380952381
56,1,0.19047619
57,1,0.4
58,1,0.19047619
59,1,0.095238095
60,1,1
61,1,0.380952381
62,1,0.238095238
63,1,0.2
64,1,0.238095238
65,1,0.238095238
66,1,0.2
67,1,0.095238095
68,1,0.047619048
69,1,1
70,1,0.380952381
71,1,0.19047619
72,1,0.2
73,1,0.380952381
74,1,0.142857143
75,1,0.666666667
76,1,0.571428571
77,1,0.19047619
78,1,0.666666667
79,1,0.571428571
80,1,0.238095238
81,1,1
82,1,0.571428571
83,1,0.285714286
84,1,0.2
85,1,0.380952381
86,1,0.285714286
87,1,0.666666667
88,1,0.428571429
89,1,0.285714286
90,1,0.666666667
91,1,0.428571429
92,1,0.19047619
93,1,0.666666667
94,1,0.571428571
95,1,0.238095238
96,1,1
1,2,0.238095238
2,2,0.19047619
3,2,0.666666667
4,2,0.428571429
5,2,0.142857143
6,2,0.4
7,2,0.428571429
8,2,0.285714286
9,2,0.666666667
10,2,0.428571429
11,2,0.238095238
12,2,0.666666667
13,2,0.428571429
14,2,0
15,2,0.066666667
16,2,0.428571429
17,2,0.095238095
18,2,1
19,2,0.428571429
20,2,0.285714286
21,2,1
22,2,0.142857143
23,2,0.142857143
24,2,0.666666667
25,2,0.380952381
26,2,0.19047619
27,2,0.666666667
28,2,0.142857143
29,2,0.047619048
30,2,0.666666667
31,2,0.428571429
32,2,0.238095238
33,2,1
34,2,0.571428571
35,2,0.19047619
36,2,0.2
37,2,0.142857143
38,2,0.285714286
39,2,0.666666667
40,2,0.380952381
41,2,0.19047619
42,2,1
43,2,0.380952381
44,2,0.238095238
45,2,1
46,2,0.428571429
47,2,0.095238095
48,2,1
49,2,0.380952381
50,2,0.19047619
51,2,0.2
52,2,0.571428571
53,2,0.095238095
54,2,0.4
55,2,0.428571429
56,2,0.142857143
57,2,0.666666667
58,2,0.571428571
59,2,0.047619048
60,2,0.066666667
61,2,0.095238095
62,2,0.19047619
63,2,0.4
64,2,0.047619048
65,2,0.095238095
66,2,0.666666667
67,2,0.142857143
68,2,0.095238095
69,2,1
70,2,0.571428571
71,2,0.285714286
72,2,0.666666667
73,2,0.380952381
74,2,0.285714286
75,2,0.666666667
76,2,0.142857143
77,2,0.285714286
78,2,0.666666667
79,2,0.238095238
80,2,0.047619048
81,2,0.666666667
82,2,0.571428571
83,2,0.142857143
84,2,1
85,2,0.428571429
86,2,0.047619048
87,2,0.666666667
88,2,0.19047619
89,2,0.285714286
90,2,0.666666667
91,2,0.19047619
92,2,0.142857143
93,2,1
94,2,0.380952381
95,2,0.047619048
96,2,0.666666667
1,3,0.428571429
2,3,0.19047619
3,3,0.666666667
4,3,0.238095238
5,3,0.047619048
6,3,1
7,3,0.238095238
8,3,0.19047619
9,3,0.2
10,3,0.428571429
11,3,0.19047619
12,3,1
13,3,0.428571429
14,3,0.285714286
15,3,0.666666667
16,3,0.428571429
17,3,0.095238095
18,3,1
19,3,0.428571429
20,3,0.142857143
21,3,0.666666667
22,3,0.238095238
23,3,0.095238095
24,3,1
25,3,0.428571429
26,3,0
27,3,1
28,3,0.428571429
29,3,0.19047619
30,3,0.2
31,3,0.571428571
32,3,0.095238095
33,3,0.2
34,3,0.142857143
35,3,0.238095238
36,3,1
37,3,0.571428571
38,3,0.238095238
39,3,0.4
40,3,0.285714286
41,3,0.19047619
42,3,0.2
43,3,0.380952381
44,3,0.285714286
45,3,1
46,3,0.285714286
47,3,0.238095238
48,3,1
49,3,0.571428571
50,3,0.238095238
51,3,0.2
52,3,0.19047619
53,3,0.19047619
54,3,0.666666667
55,3,0.238095238
56,3,0.095238095
57,3,0.2
58,3,0.285714286
59,3,0.285714286
60,3,1
61,3,0.142857143
62,3,0
63,3,1
64,3,0.380952381
65,3,0.238095238
66,3,0.666666667
67,3,0.380952381
68,3,0.047619048
69,3,0.666666667
70,3,0.142857143
71,3,0.238095238
72,3,0.4
73,3,0.428571429
74,3,0.285714286
75,3,1
76,3,0.571428571
77,3,0.238095238
78,3,1
79,3,0.428571429
80,3,0.19047619
81,3,0.666666667
82,3,0.333333333
83,3,0.238095238
84,3,0.2
85,3,0.428571429
86,3,0.19047619
87,3,0.4
88,3,0.428571429
89,3,0.19047619
90,3,0.2
91,3,0.571428571
92,3,0.238095238
93,3,0.666666667
94,3,0.380952381
95,3,0.238095238
96,3,1
1,4,0.380952381
2,4,0.238095238
3,4,0.4
4,4,0.380952381
5,4,0.19047619
6,4,1
7,4,0.428571429
8,4,0.142857143
9,4,1
10,4,0.571428571
11,4,0.095238095
12,4,0.4
13,4,0.428571429
14,4,0.142857143
15,4,0.4
16,4,0.571428571
17,4,0.238095238
18,4,1
19,4,0.571428571
20,4,0.047619048
21,4,0.666666667
22,4,0.571428571
23,4,0
24,4,0.2
25,4,0.380952381
26,4,0.19047619
27,4,0.666666667
28,4,0.238095238
29,4,0.19047619
30,4,0.2
31,4,0.428571429
32,4,0.238095238
33,4,1
34,4,0.380952381
35,4,0.285714286
36,4,0.666666667
37,4,0.142857143
38,4,0.095238095
39,4,1
40,4,0.19047619
41,4,0.238095238
42,4,0.666666667
43,4,0.238095238
44,4,0.238095238
45,4,0.066666667
46,4,0.19047619
47,4,0
48,4,1
49,4,0.428571429
50,4,0.285714286
51,4,1
52,4,0.285714286
53,4,0.285714286
54,4,0.4
55,4,0.428571429
56,4,0.238095238
57,4,0.4
58,4,0.285714286
59,4,0.19047619
60,4,0.666666667
61,4,0.238095238
62,4,0.19047619
63,4,1
64,4,0.428571429
65,4,0.095238095
66,4,1
67,4,0.380952381
68,4,0.19047619
69,4,0.666666667
70,4,0.333333333
71,4,0.19047619
72,4,0.666666667
73,4,0.380952381
74,4,0.095238095
75,4,0.666666667
76,4,0.428571429
77,4,0.19047619
78,4,0.4
79,4,0.238095238
80,4,0.238095238
81,4,1
82,4,0.047619048
83,4,0.285714286
84,4,1
85,4,0.380952381
86,4,0.095238095
87,4,1
88,4,0.380952381
89,4,0.238095238
90,4,0.2
91,4,0.380952381
92,4,0.238095238
93,4,0.666666667
94,4,0.333333333
95,4,0.285714286
96,4,0.666666667
1,5,0.238095238
2,5,0.285714286
3,5,0.666666667
4,5,0.571428571
5,5,0.238095238
6,5,0.066666667
7,5,0.428571429
8,5,0.142857143
9,5,0.666666667
10,5,0.571428571
11,5,0.095238095
12,5,0.666666667
13,5,0.380952381
14,5,0.285714286
15,5,1
16,5,0.428571429
17,5,0.285714286
18,5,1
19,5,0.285714286
20,5,0.047619048
21,5,0.2
22,5,0.571428571
23,5,0.238095238
24,5,0.4
25,5,0.380952381
26,5,0.095238095
27,5,1
28,5,0.571428571
29,5,0.095238095
30,5,0.666666667
31,5,0.428571429
32,5,0.238095238
33,5,0.4
34,5,0.285714286
35,5,0.142857143
36,5,0.666666667
37,5,0.19047619
38,5,0.095238095
39,5,1
40,5,0.095238095
41,5,0.238095238
42,5,0.2
43,5,0.19047619
44,5,0
45,5,1
46,5,0.428571429
47,5,0.238095238
48,5,1
49,5,0.428571429
50,5,0.238095238
51,5,1
52,5,0.380952381
53,5,0.19047619
54,5,1
55,5,0.380952381
56,5,0.285714286
57,5,0.2
58,5,0.571428571
59,5,0.19047619
60,5,0.666666667
61,5,0.047619048
62,5,0.142857143
63,5,1
64,5,0.571428571
65,5,0.285714286
66,5,0.4
67,5,0.571428571
68,5,0.19047619
69,5,1
70,5,0.428571429
71,5,0.285714286
72,5,1
73,5,0.571428571
74,5,0.19047619
75,5,1
76,5,0.380952381
77,5,0.095238095
78,5,0.4
79,5,0.095238095
80,5,0.238095238
81,5,0.4
82,5,0.428571429
83,5,0.238095238
84,5,1
85,5,0.380952381
86,5,0.047619048
87,5,0.666666667
88,5,0.380952381
89,5,0.047619048
90,5,0.4
91,5,0.428571429
92,5,0.095238095
93,5,1
94,5,0.428571429
95,5,0.047619048
96,5,0.666666667
1,6,0.571428571
2,6,0
3,6,1
4,6,0.142857143
5,6,0.19047619
6,6,0.2
7,6,0.428571429
8,6,0.285714286
9,6,1
10,6,0.428571429
11,6,0.095238095
12,6,1
13,6,0.380952381
14,6,0.19047619
15,6,1
16,6,0.571428571
17,6,0.285714286
18,6,1
19,6,0.285714286
20,6,0.238095238
21,6,0.666666667
22,6,0.285714286
23,6,0.19047619
24,6,0.666666667
25,6,0.333333333
26,6,0.19047619
27,6,0.2
28,6,0.19047619
29,6,0.19047619
30,6,0.4
31,6,0.380952381
32,6,0.095238095
33,6,0.2
34,6,0.380952381
35,6,0.285714286
36,6,1
37,6,0.19047619
38,6,0.285714286
39,6,1
40,6,0.333333333
41,6,0.047619048
42,6,1
43,6,0.428571429
44,6,0.238095238
45,6,1
46,6,0.380952381
47,6,0.238095238
48,6,0.666666667
49,6,0.238095238
50,6,0.142857143
51,6,0.666666667
52,6,0.571428571
53,6,0.238095238
54,6,0.666666667
55,6,0.380952381
56,6,0.19047619
57,6,0.666666667
58,6,0.571428571
59,6,0.095238095
60,6,1
61,6,0.428571429
62,6,0.142857143
63,6,1
64,6,0.19047619
65,6,0.238095238
66,6,1
67,6,0.380952381
68,6,0.142857143
69,6,0.666666667
70,6,0.571428571
71,6,0.095238095
72,6,0.2
73,6,0.380952381
74,6,0.238095238
75,6,1
76,6,0.142857143
77,6,0.095238095
78,6,0.666666667
79,6,0.571428571
80,6,0.285714286
81,6,0.666666667
82,6,0.428571429
83,6,0.142857143
84,6,0.4
85,6,0.428571429
86,6,0.19047619
87,6,0.066666667
88,6,0.19047619
89,6,0.238095238
90,6,0.666666667
91,6,0.142857143
92,6,0.238095238
93,6,0.666666667
94,6,0.142857143
95,6,0.285714286
96,6,0.4
